"2025/05/31 5:33:17 p.m. GMT-5","27","Rara vez","Obtener energía rápidamente;El sabor","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","Los ingredientes naturales;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 5:34:01 p.m. GMT-5","28","Rara vez","Saciar el hambre","Barra con tubérculos (ingredientes como yacón, camote, etc.)","Importante","Sí","Si","El sabor","Mejorar el rendimiento físico","Empaque individual","Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 5:34:02 p.m. GMT-5","20","Nunca","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;El precio","Controlar el apetito","No tengo preferencia","Supermercados;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 7:35:25 p.m. GMT-5","24","Una vez a la semana","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 8:23:04 p.m. GMT-5","27","Rara vez","Saciar el hambre;La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Controlar el apetito","Empaque individual","Supermercados;Gimnasios;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 9:08:51 p.m. GMT-5","20","Nunca","Obtener energía rápidamente","Nada","Nada importante","No","No","El sabor","Nada","No tengo preferencia","Supermercados","Depende del tamaño y calidad"
"2025/05/31 9:49:42 p.m. GMT-5","22","Rara vez","El sabor","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","El sabor;El valor nutricional","Mejorar el rendimiento físico","No tengo preferencia","Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 9:59:21 p.m. GMT-5","19","Una vez al mes","Obtener energía rápidamente;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Más de S/4"
"2025/05/31 10:22:28 p.m. GMT-5","20","Rara vez","Obtener energía rápidamente;Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Caja con varias barras","Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 10:32:43 p.m. GMT-5","21","Rara vez","Obtener energía rápidamente;Realizar ejercicio o deporte","Barra energética comercial (como las de supermercado)","Muy importante","No","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 10:44:38 p.m. GMT-5","28","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","No","No","El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 11:09:04 p.m. GMT-5","21","Nunca","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","No","No","El sabor;Los ingredientes naturales","Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
