"Marca temporal","¿Cuál es su edad? ","¿Con qué frecuencia consume barras energéticas? ","¿Qué lo motiva a consumir barras energéticas?","¿Qué tipos de barra conoce?","¿Qué tan importante es para usted que una barra energética sea natural? ","¿Conoce el yacón?","¿Preferiría una barra energética endulzada con yacón en lugar de azúcar refinada o edulcorantes artificiales?","¿Qué valora más al elegir una barra energética?  (Puede marcar más de una opción) ","¿Cuáles son los beneficios que espera obtener al consumir una barra energética?   (Puede marcar más de una opción) ","¿Qué presentación prefiere para consumir una barra energética? ","¿Le gustaría encontrar este tipo de barra en…? (Puede marcar más de una opción) "," ¿Cuánto estaría dispuesto a pagar por una barra energética elaborada con ingredientes naturales y endulzada con yacón?  "
"2025/05/30 7:32:06 p.m. GMT-5","50","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","Los ingredientes naturales","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/30 8:12:47 p.m. GMT-5","19","Una vez al mes","Saciar el hambre;La practicidad;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","Sí","Si","El sabor;El precio;El valor nutricional","Sentirse con más energía;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/30 8:16:51 p.m. GMT-5","21","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","No","El valor nutricional","Sentirse con más energía","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/30 8:33:04 p.m. GMT-5","20","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor","Sentirse con más energía","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/30 9:09:49 p.m. GMT-5","20","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;Los ingredientes naturales;El precio","Mejorar el rendimiento físico","Empaque individual","Supermercados;Gimnasios","Entre S/2 y S/4"
"2025/05/30 9:31:05 p.m. GMT-5","20","Rara vez","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El valor nutricional;Una marca reconocida","Sentirse con más energía","No tengo preferencia","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 9:32:15 p.m. GMT-5","19","Rara vez","Realizar ejercicio o deporte","Barra energética comercial (como las de supermercado)","Importante","Sí","Si","El sabor;Los ingredientes naturales;El precio","Sentirse con más energía;Mejorar el rendimiento físico","Caja con varias barras","Supermercados;Tiendas naturales;Farmacias","Entre S/2 y S/4"
"2025/05/30 9:32:20 p.m. GMT-5","19 años","Rara vez","Obtener energía rápidamente;Saciar el hambre;El sabor;La practicidad","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 10:18:10 p.m. GMT-5","22","Rara vez","Obtener energía rápidamente","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","Sí","Si","Los ingredientes naturales;El valor nutricional","Mejorar el rendimiento físico;Mejorar la digestión","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 10:26:22 p.m. GMT-5","20","Rara vez","Saciar el hambre;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","No","El sabor","Sentirse con más energía;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
